trial,found_ik,solve_time,position_error,orientation_error,px, py, pz, t1, t2,t3,t4,t5,t6,t7, p1, p2, p3, p4, p5, p6 , p7
70,true,5473,4.70042e-06,8.86206e-06,-0.828151,-0.0656058,0.377791,-0.0912564, -1.73296, -0.285402, -0.497266, 1.15573, 3.19294, -1.78621,-0.0419072, -1.46443, -1.23148, -0.17044, 1.48912, 3.01831, -1.18136
71,false,100022,0.669387,2.65099,-0.418295,-0.00985346,0.371702,1.89297, 0.90261, 0.369639, -1.26974, -0.156728, 3.67771, 0.277422,
72,true,507,1.1082e-06,9.26494e-06,-0.323792,0.244628,0.772565,0.0385097, 0.503249, 2.85925, -1.86301, -1.30858, 1.4748, -1.95773,-1.73426, -1.10821, -0.657279, -1.91271, -2.33553, 0.583887, -2.16485
73,true,736,2.86119e-06,1.02175e-05,0.00692557,0.273709,-0.0267353,1.21159, 0.819844, 0.232875, -2.47088, -0.476271, 2.22926, -1.86938,-2.8973, -1.4053, -2.28151, -2.37568, -1.24647, 1.51577, -1.36589
74,true,613,2.58962e-06,9.46714e-06,-0.107786,0.545865,0.778803,0.717999, 0.807213, 2.08987, -1.38877, -1.84003, 1.21155, -1.45959,-1.54088, 0.0481387, -2.89179, -1.42737, -0.797385, 1.89813, -1.60159
75,true,289,3.25923e-06,7.7899e-06,-0.343426,-0.249924,0.346836,1.684, -0.961025, 1.60596, -2.02367, 0.886819, 0.409687, 0.552018,2.88059, 0.19213, 0.699434, -2.16889, 0.682012, 1.09512, 1.27535
76,true,2605,4.3853e-06,8.35304e-06,-0.109189,-0.253015,1.04566,1.57643, -0.580019, 1.23819, -0.362841, -1.50067, 1.14402, -2.31189,-2.15102, 0.860501, 2.88859, -0.604492, 0.381596, 1.39107, -2.56921
77,true,1453,1.15825e-06,8.15658e-06,0.249638,-0.186249,0.120508,-1.82984, 0.630481, 0.705134, -2.68532, -1.86137, 3.08264, 0.043945,-0.753651, 0.283183, 0.274532, -2.71584, 1.81228, 2.94031, -2.89245
78,true,1402,8.63073e-07,5.84533e-06,-0.386285,-0.411202,0.147706,-0.138452, -1.03393, -2.10187, -2.22424, 0.42562, 3.4403, -1.7937,-2.78165, 0.650449, 0.553101, -2.00249, 1.91856, 2.92292, -2.87106
79,false,100042,0.389798,3.04224,0.339521,-0.436806,0.876728,-1.17605, 1.13051, -0.325942, -0.0130818, -2.4135, 3.32166, 1.97229,
80,true,2206,7.77231e-06,8.63339e-06,-0.743091,0.396862,0.313848,2.54646, 1.6082, 2.20915, -0.14509, -1.51259, 2.14008, 1.45137,-0.491176, -1.626, 0.472038, -0.142034, -2.8876, 2.07297, 1.4004
81,true,1514,3.66944e-06,6.48724e-06,-0.476447,0.593619,0.460561,-1.27508, -0.982845, -2.65921, -1.01524, 1.9683, 1.27733, 1.2059,1.87431, 0.979268, 0.466304, -1.01601, 1.98135, 1.27153, 1.20786
82,true,3459,8.59375e-06,6.49227e-06,-0.692111,0.401543,0.545038,-0.448709, -1.41618, -0.137674, -0.120595, 1.34587, 1.88348, 0.344204,-0.121126, -1.01647, 2.32376, -0.7365, -1.36206, 1.958, 0.6969
83,true,782,1.64258e-06,9.91072e-06,0.38699,-0.225794,0.0608312,1.42264, -1.22989, -2.3447, -2.18189, -2.09402, 3.05196, -0.966684,-1.519, 1.04779, 0.836385, -2.48795, 0.125322, 3.48628, -2.8973
84,true,412,1.233e-06,6.20429e-06,0.152426,0.150773,0.0936708,-0.566571, 0.862449, 0.450734, -2.80496, 1.19653, 1.61983, 2.42465,-0.736863, 0.930707, 0.540798, -2.81592, 1.12698, 1.74753, 2.47204
85,true,7173,9.5056e-06,1.10424e-05,0.613821,0.241831,0.843357,0.394192, 0.74471, 0.498106, -0.293429, 1.18281, 3.10134, 2.6474,0.113573, 0.762832, 1.34307, -0.531673, 0.731446, 3.2583, 2.46087
86,true,4358,1.64507e-06,1.28512e-05,0.146768,-0.648421,0.807771,1.77909, -1.5666, -0.088658, -1.12079, -0.465412, 2.99995, 2.69616,-1.59598, 0.325231, 0.312176, -1.13906, 2.8973, 2.01617, 2.22015
87,true,841,4.64142e-06,7.0849e-06,0.348166,-0.141453,0.458319,1.00788, -0.889686, -1.56729, -2.56442, 1.58063, 0.990059, -0.584612,1.11852, 0.498123, -1.42481, -2.63131, -2.21822, 0.297471, 1.04709
88,true,459,4.91768e-07,9.22495e-06,0.356463,0.237196,0.781255,2.29705, 0.981998, -2.42125, -2.09714, 2.50537, 1.78442, -0.223938,1.99461, 1.23575, -2.39939, -2.12943, 2.73432, 1.61806, 0.0142946
89,true,2262,7.65968e-06,6.12316e-06,0.120779,-0.395735,0.26273,-1.13196, 0.0585231, -0.388532, -2.58378, 1.56041, 1.62554, 1.69069,-2.80785, 0.19613, 1.30143, -2.5862, 1.46434, 1.8143, 1.70004
90,true,1301,7.15399e-06,1.02093e-05,0.815203,0.174392,0.354734,0.253681, 1.58508, -0.855743, -0.0500564, 1.16864, 2.84656, 1.6458,-2.4243, -1.66717, 1.37326, -0.812673, 2.52419, 2.58607, 1.17779
91,true,625,4.52876e-06,5.61969e-06,0.430456,-0.306601,0.45273,1.41289, -0.963794, -1.36002, -2.00943, -1.76545, 0.71389, -0.750686,1.35869, -0.716872, -1.44683, -2.00324, -1.57415, 0.929807, -0.728201
92,true,247,3.31451e-06,7.3458e-06,-0.0861324,-0.228463,0.313597,0.327879, 0.250562, -2.61803, -2.73403, 0.716574, 0.978553, -1.87183,-0.535262, 0.981096, -1.72289, -2.61209, 0.643091, 0.457926, -2.60196
93,true,10228,7.50035e-06,1.26684e-05,-0.0740185,0.613375,-0.016479,1.82835, 1.75009, -0.71555, -0.889817, 2.37586, 0.52962, 0.798775,1.08594, 1.7628, 0.748666, -0.892942, 0.735132, 1.13748, 0.808353
94,true,2033,4.48146e-06,9.57673e-06,-0.385547,-0.609346,0.490786,0.523768, -0.884705, -2.2633, -0.819605, -0.0299021, 1.37631, -1.88756,0.923262, -1.14352, 2.71239, -0.115908, 1.0488, 1.03052, -1.94567
95,true,599,4.74229e-06,1.27961e-05,0.0617252,-0.616872,0.697713,-1.18687, 0.153406, -0.408064, -1.68477, 2.68786, 1.43464, 0.226271,-0.540038, 1.40522, -1.98239, -1.63731, -2.24015, 1.69392, 1.09674
96,true,799,2.05496e-06,8.32229e-06,0.301514,0.257427,-0.0447058,-1.81437, -1.4116, 2.45695, -1.65929, 0.706127, 0.964366, -1.99386,2.82952, -1.61166, -2.28348, -1.70402, -0.454463, 1.16622, -0.73628
97,true,2655,8.71527e-06,1.21008e-05,-0.281742,0.671824,0.653855,-0.827965, -0.836872, 2.20588, -0.512276, -2.83273, 3.29129, 2.34507,-0.792498, -1.7628, 0.570761, -1.10189, 2.69416, 2.65159, -1.42089
98,true,3157,1.29069e-05,5.03159e-06,0.0236748,-0.801972,0.618357,-1.80952, 1.36789, 1.9626, -0.465533, 1.49684, 2.21185, -0.675528,-1.71126, 0.974806, 0.50145, -0.610298, 2.86746, 1.91707, -0.529863
99,true,2193,1.06046e-06,1.00128e-05,-0.37018,-0.318797,-0.0136054,-0.229434, -1.38254, -2.51447, -2.1359, -0.799931, 3.54347, 0.88535,-0.124088, -1.33049, -2.6182, -2.07735, -0.991817, 3.61557, 1.15997
100,true,3377,1.02641e-05,1.11722e-05,-0.500155,-0.680514,0.330067,1.03376, -1.33476, 2.50449, -0.533079, -0.699105, 3.09047, 2.34556,1.03095, -1.33435, 2.51228, -0.530263, -0.709678, 3.08832, 2.34875
